File,WaveData20240328_004.csv,
1574.524800,1.4710E-007,1574.524800,3.2120E-004,1574.524800,2.6020E-008,1574.524800,2.4640E-008,1574.524800,2.4640E-008
1574.575700,1.1640E-007,1574.575700,3.2070E-004,1574.575700,2.5780E-008,1574.575700,4.7670E-008,1574.575700,4.7670E-008
1574.626600,1.1820E-007,1574.626600,3.2110E-004,1574.626600,2.4310E-008,1574.626600,1.9840E-008,1574.626600,1.9840E-008
1574.677500,1.4360E-007,1574.677500,3.2070E-004,1574.677500,2.8730E-008,1574.677500,3.8200E-008,1574.677500,3.8200E-008
1574.728400,1.6000E-007,1574.728400,3.2100E-004,1574.728400,3.3610E-008,1574.728400,3.3430E-008,1574.728400,3.3430E-008
1574.779300,1.4550E-007,1574.779300,3.2060E-004,1574.779300,2.8450E-008,1574.779300,2.1460E-008,1574.779300,2.1460E-008
1574.830200,1.3090E-007,1574.830200,3.2070E-004,1574.830200,3.5140E-008,1574.830200,3.8240E-008,1574.830200,3.8240E-008
1574.881100,1.3210E-007,1574.881100,3.2050E-004,1574.881100,2.6760E-008,1574.881100,2.1560E-008,1574.881100,2.1560E-008
1574.932000,1.2060E-007,1574.932000,3.2080E-004,1574.932000,2.1110E-008,1574.932000,2.3180E-008,1574.932000,2.3180E-008
1574.982900,1.2170E-007,1574.982900,3.2030E-004,1574.982900,3.0220E-008,1574.982900,2.9560E-008,1574.982900,2.9560E-008
1575.033800,1.0690E-007,1575.033800,3.2010E-004,1575.033800,2.4740E-008,1575.033800,4.3610E-008,1575.033800,4.3610E-008
1575.084700,1.0000E-007,1575.084700,3.2020E-004,1575.084700,2.2300E-008,1575.084700,1.8990E-008,1575.084700,1.8990E-008
1575.135600,1.1900E-007,1575.135600,3.1980E-004,1575.135600,2.2460E-008,1575.135600,1.9100E-008,1575.135600,1.9100E-008
1575.186500,1.4160E-007,1575.186500,3.2010E-004,1575.186500,2.5930E-008,1575.186500,2.4090E-008,1575.186500,2.4090E-008
1575.237400,1.1130E-007,1575.237400,3.1960E-004,1575.237400,2.3650E-008,1575.237400,1.2680E-008,1575.237400,1.2680E-008
1575.288300,1.0280E-007,1575.288300,3.1950E-004,1575.288300,2.1840E-008,1575.288300,1.7020E-008,1575.288300,1.7020E-008
1575.339200,8.9300E-008,1575.339200,3.1920E-004,1575.339200,2.0390E-008,1575.339200,3.1610E-008,1575.339200,3.1610E-008
1575.390100,7.6530E-008,1575.390100,3.1890E-004,1575.390100,2.4230E-008,1575.390100,3.6010E-008,1575.390100,3.6010E-008
1575.441000,8.6280E-008,1575.441000,3.1880E-004,1575.441000,1.3550E-008,1575.441000,3.5810E-008,1575.441000,3.5810E-008
1575.491900,7.5310E-008,1575.491900,3.1880E-004,1575.491900,1.7040E-008,1575.491900,2.6430E-008,1575.491900,2.6430E-008
1575.542800,7.1090E-008,1575.542800,3.1860E-004,1575.542800,2.0150E-008,1575.542800,2.9360E-008,1575.542800,2.9360E-008
1575.593700,6.5460E-008,1575.593700,3.1840E-004,1575.593700,1.6920E-008,1575.593700,1.7050E-008,1575.593700,1.7050E-008
1575.644600,4.5560E-008,1575.644600,3.1800E-004,1575.644600,1.8230E-008,1575.644600,1.3860E-008,1575.644600,1.3860E-008
1575.695500,5.1680E-008,1575.695500,3.1800E-004,1575.695500,1.4800E-008,1575.695500,2.1000E-008,1575.695500,2.1000E-008
1575.746400,8.4120E-008,1575.746400,3.1760E-004,1575.746400,1.5150E-008,1575.746400,3.1590E-008,1575.746400,3.1590E-008
1575.797300,5.5210E-008,1575.797300,3.1740E-004,1575.797300,1.5310E-008,1575.797300,4.2980E-009,1575.797300,4.2980E-009
1575.848200,4.9940E-008,1575.848200,3.1690E-004,1575.848200,1.1780E-008,1575.848200,1.7260E-008,1575.848200,1.7260E-008
1575.899100,6.4100E-008,1575.899100,3.1670E-004,1575.899100,2.2710E-008,1575.899100,2.4580E-008,1575.899100,2.4580E-008
1575.950000,4.9130E-008,1575.950000,3.1610E-004,1575.950000,1.8830E-008,1575.950000,4.3990E-008,1575.950000,4.3990E-008
1576.000900,6.8430E-008,1576.000900,3.1600E-004,1576.000900,2.1380E-008,1576.000900,-2.5100E-008,1576.000900,-2.5100E-008
1576.051800,9.2050E-008,1576.051800,3.1580E-004,1576.051800,1.8450E-008,1576.051800,-4.9340E-009,1576.051800,-4.9340E-009
1576.102700,1.1090E-007,1576.102700,3.1530E-004,1576.102700,2.9210E-008,1576.102700,1.4340E-008,1576.102700,1.4340E-008
1576.153600,1.5260E-007,1576.153600,3.1500E-004,1576.153600,2.6840E-008,1576.153600,1.9140E-008,1576.153600,1.9140E-008
1576.204500,1.3630E-007,1576.204500,3.1500E-004,1576.204500,3.4570E-008,1576.204500,4.0190E-008,1576.204500,4.0190E-008
1576.255400,1.4040E-007,1576.255400,3.1460E-004,1576.255400,2.4060E-008,1576.255400,1.3230E-008,1576.255400,1.3230E-008
1576.306300,2.1160E-007,1576.306300,3.1420E-004,1576.306300,3.9490E-008,1576.306300,3.2800E-008,1576.306300,3.2800E-008
1576.357200,2.3750E-007,1576.357200,3.1380E-004,1576.357200,3.8330E-008,1576.357200,4.8470E-008,1576.357200,4.8470E-008
1576.408100,2.0480E-007,1576.408100,3.1350E-004,1576.408100,4.1710E-008,1576.408100,2.1620E-008,1576.408100,2.1620E-008
1576.459000,2.6370E-007,1576.459000,3.1340E-004,1576.459000,4.4990E-008,1576.459000,7.3660E-009,1576.459000,7.3660E-009
1576.509900,2.6680E-007,1576.509900,3.1280E-004,1576.509900,3.7620E-008,1576.509900,3.4270E-008,1576.509900,3.4270E-008
1576.560800,2.4440E-007,1576.560800,3.1230E-004,1576.560800,3.5150E-008,1576.560800,3.6080E-008,1576.560800,3.6080E-008
1576.611700,2.5260E-007,1576.611700,3.1180E-004,1576.611700,3.9140E-008,1576.611700,4.3330E-008,1576.611700,4.3330E-008
1576.662600,2.2860E-007,1576.662600,3.1110E-004,1576.662600,4.3190E-008,1576.662600,9.7470E-009,1576.662600,9.7470E-009
1576.713500,2.6930E-007,1576.713500,3.1070E-004,1576.713500,4.0550E-008,1576.713500,4.9640E-008,1576.713500,4.9640E-008
1576.764400,2.8390E-007,1576.764400,3.1070E-004,1576.764400,4.0850E-008,1576.764400,5.5750E-008,1576.764400,5.5750E-008
1576.815300,2.5210E-007,1576.815300,3.1020E-004,1576.815300,4.2910E-008,1576.815300,3.1780E-008,1576.815300,3.1780E-008
1576.866200,2.7750E-007,1576.866200,3.0950E-004,1576.866200,5.3250E-008,1576.866200,3.3620E-008,1576.866200,3.3620E-008
1576.917100,2.7040E-007,1576.917100,3.0930E-004,1576.917100,3.9590E-008,1576.917100,3.1410E-008,1576.917100,3.1410E-008
1576.968000,2.2910E-007,1576.968000,3.0860E-004,1576.968000,4.7980E-008,1576.968000,4.5140E-008,1576.968000,4.5140E-008
1577.018900,2.3770E-007,1577.018900,3.0800E-004,1577.018900,3.5750E-008,1577.018900,2.5730E-008,1577.018900,2.5730E-008
1577.069800,1.8500E-007,1577.069800,3.0800E-004,1577.069800,3.2110E-008,1577.069800,3.2280E-008,1577.069800,3.2280E-008
1577.120700,1.6810E-007,1577.120700,3.0730E-004,1577.120700,3.4310E-008,1577.120700,2.9670E-008,1577.120700,2.9670E-008
1577.171600,1.6160E-007,1577.171600,3.0700E-004,1577.171600,2.8930E-008,1577.171600,1.9150E-008,1577.171600,1.9150E-008
1577.222500,1.1170E-007,1577.222500,3.0620E-004,1577.222500,3.1440E-008,1577.222500,3.3690E-008,1577.222500,3.3690E-008
1577.273400,8.9740E-008,1577.273400,3.0550E-004,1577.273400,2.0860E-008,1577.273400,2.1100E-008,1577.273400,2.1100E-008
1577.324300,7.2360E-008,1577.324300,3.0540E-004,1577.324300,2.6350E-008,1577.324300,2.8440E-008,1577.324300,2.8440E-008
1577.375200,7.0940E-008,1577.375200,3.0460E-004,1577.375200,2.0850E-008,1577.375200,2.6320E-008,1577.375200,2.6320E-008
1577.426100,9.5890E-008,1577.426100,3.0380E-004,1577.426100,1.9120E-008,1577.426100,1.7940E-008,1577.426100,1.7940E-008
1577.477000,7.6110E-008,1577.477000,3.0350E-004,1577.477000,2.4480E-008,1577.477000,4.6640E-008,1577.477000,4.6640E-008
1577.527900,6.7730E-008,1577.527900,3.0260E-004,1577.527900,1.9890E-008,1577.527900,1.8030E-008,1577.527900,1.8030E-008
1577.578800,8.4750E-008,1577.578800,3.0220E-004,1577.578800,1.9040E-008,1577.578800,1.6590E-008,1577.578800,1.6590E-008
1577.629700,1.0370E-007,1577.629700,3.0180E-004,1577.629700,2.4920E-008,1577.629700,4.2240E-008,1577.629700,4.2240E-008
1577.680600,1.0360E-007,1577.680600,3.0090E-004,1577.680600,2.2450E-008,1577.680600,2.3040E-008,1577.680600,2.3040E-008
1577.731500,1.2530E-007,1577.731500,3.0040E-004,1577.731500,2.6030E-008,1577.731500,7.6160E-009,1577.731500,7.6160E-009
1577.782400,1.5450E-007,1577.782400,2.9980E-004,1577.782400,2.6280E-008,1577.782400,3.6110E-008,1577.782400,3.6110E-008
1577.833300,1.3910E-007,1577.833300,2.9960E-004,1577.833300,2.3810E-008,1577.833300,3.9580E-008,1577.833300,3.9580E-008
1577.884200,2.1100E-007,1577.884200,2.9910E-004,1577.884200,3.3410E-008,1577.884200,5.0910E-008,1577.884200,5.0910E-008
1577.935100,1.8640E-007,1577.935100,2.9830E-004,1577.935100,3.4860E-008,1577.935100,2.7040E-008,1577.935100,2.7040E-008
1577.986000,2.0460E-007,1577.986000,2.9750E-004,1577.986000,4.2770E-008,1577.986000,-1.1630E-008,1577.986000,-1.1630E-008
1578.036900,2.0420E-007,1578.036900,2.9670E-004,1578.036900,3.4860E-008,1578.036900,2.3430E-008,1578.036900,2.3430E-008
1578.087800,1.9700E-007,1578.087800,2.9620E-004,1578.087800,3.5670E-008,1578.087800,3.2020E-008,1578.087800,3.2020E-008
1578.138700,2.0990E-007,1578.138700,2.9560E-004,1578.138700,3.6330E-008,1578.138700,2.9380E-008,1578.138700,2.9380E-008
1578.189600,2.4550E-007,1578.189600,2.9470E-004,1578.189600,4.5410E-008,1578.189600,3.0820E-008,1578.189600,3.0820E-008
1578.240500,2.5360E-007,1578.240500,2.9420E-004,1578.240500,3.3110E-008,1578.240500,3.4760E-008,1578.240500,3.4760E-008
1578.291400,2.3700E-007,1578.291400,2.9340E-004,1578.291400,3.6650E-008,1578.291400,5.7850E-008,1578.291400,5.7850E-008
1578.342300,2.6920E-007,1578.342300,2.9310E-004,1578.342300,4.0320E-008,1578.342300,3.6890E-008,1578.342300,3.6890E-008
1578.393200,2.2780E-007,1578.393200,2.9240E-004,1578.393200,3.8360E-008,1578.393200,4.5130E-008,1578.393200,4.5130E-008
1578.444100,2.5220E-007,1578.444100,2.9160E-004,1578.444100,4.2090E-008,1578.444100,1.9510E-008,1578.444100,1.9510E-008
1578.495000,2.5870E-007,1578.495000,2.9070E-004,1578.495000,4.7910E-008,1578.495000,3.1880E-008,1578.495000,3.1880E-008
1578.545900,2.7070E-007,1578.545900,2.8980E-004,1578.545900,3.8180E-008,1578.545900,2.9620E-008,1578.545900,2.9620E-008
1578.596800,3.0970E-007,1578.596800,2.8930E-004,1578.596800,4.3410E-008,1578.596800,4.3990E-008,1578.596800,4.3990E-008
1578.647700,2.5010E-007,1578.647700,2.8870E-004,1578.647700,4.6120E-008,1578.647700,3.6500E-008,1578.647700,3.6500E-008
1578.698600,3.0800E-007,1578.698600,2.8810E-004,1578.698600,4.7250E-008,1578.698600,4.2180E-008,1578.698600,4.2180E-008
1578.749500,4.0520E-007,1578.749500,2.8690E-004,1578.749500,5.6370E-008,1578.749500,4.5480E-008,1578.749500,4.5480E-008
1578.800400,3.7640E-007,1578.800400,2.8630E-004,1578.800400,6.1280E-008,1578.800400,4.2670E-008,1578.800400,4.2670E-008
1578.851300,4.4900E-007,1578.851300,2.8520E-004,1578.851300,6.2410E-008,1578.851300,8.6580E-008,1578.851300,8.6580E-008
1578.902200,4.9240E-007,1578.902200,2.8450E-004,1578.902200,6.4230E-008,1578.902200,4.5490E-008,1578.902200,4.5490E-008
1578.953100,5.4240E-007,1578.953100,2.8380E-004,1578.953100,8.0850E-008,1578.953100,2.1510E-008,1578.953100,2.1510E-008
1579.004000,5.1340E-007,1579.004000,2.8300E-004,1579.004000,7.5530E-008,1579.004000,4.7720E-008,1579.004000,4.7720E-008
1579.054900,5.9820E-007,1579.054900,2.8200E-004,1579.054900,8.7150E-008,1579.054900,4.3180E-008,1579.054900,4.3180E-008
1579.105800,7.1640E-007,1579.105800,2.8110E-004,1579.105800,9.9780E-008,1579.105800,7.5210E-008,1579.105800,7.5210E-008
1579.156700,9.5990E-007,1579.156700,2.8050E-004,1579.156700,1.2720E-007,1579.156700,7.4730E-008,1579.156700,7.4730E-008
1579.207600,1.4370E-006,1579.207600,2.8000E-004,1579.207600,1.8660E-007,1579.207600,1.0860E-007,1579.207600,1.0860E-007
1579.258500,2.4600E-006,1579.258500,2.7930E-004,1579.258500,3.0040E-007,1579.258500,1.1950E-007,1579.258500,1.1950E-007
1579.309400,4.2210E-006,1579.309400,2.7820E-004,1579.309400,4.8910E-007,1579.309400,2.2130E-007,1579.309400,2.2130E-007
1579.360300,6.7950E-006,1579.360300,2.7740E-004,1579.360300,7.9120E-007,1579.360300,3.7030E-007,1579.360300,3.7030E-007
1579.411200,9.6440E-006,1579.411200,2.7650E-004,1579.411200,1.1160E-006,1579.411200,6.0160E-007,1579.411200,6.0160E-007
1579.462100,1.2060E-005,1579.462100,2.7570E-004,1579.462100,1.4170E-006,1579.462100,7.8180E-007,1579.462100,7.8180E-007
1579.513000,1.3770E-005,1579.513000,2.7530E-004,1579.513000,1.6140E-006,1579.513000,9.4960E-007,1579.513000,9.4960E-007
1579.563900,1.4810E-005,1579.563900,2.7440E-004,1579.563900,1.7560E-006,1579.563900,1.0080E-006,1579.563900,1.0080E-006
1579.614800,1.5500E-005,1579.614800,2.7330E-004,1579.614800,1.8270E-006,1579.614800,1.0660E-006,1579.614800,1.0660E-006
1579.665700,1.5840E-005,1579.665700,2.7230E-004,1579.665700,1.8710E-006,1579.665700,1.1340E-006,1579.665700,1.1340E-006
1579.716600,1.6060E-005,1579.716600,2.7170E-004,1579.716600,1.8960E-006,1579.716600,1.1480E-006,1579.716600,1.1480E-006
1579.767500,1.6150E-005,1579.767500,2.7100E-004,1579.767500,1.9030E-006,1579.767500,1.1470E-006,1579.767500,1.1470E-006
1579.818400,1.6090E-005,1579.818400,2.6980E-004,1579.818400,1.8990E-006,1579.818400,1.1490E-006,1579.818400,1.1490E-006
1579.869300,1.6100E-005,1579.869300,2.6860E-004,1579.869300,1.8990E-006,1579.869300,1.1420E-006,1579.869300,1.1420E-006
1579.920200,1.6030E-005,1579.920200,2.6800E-004,1579.920200,1.8960E-006,1579.920200,1.1450E-006,1579.920200,1.1450E-006
1579.971100,1.5950E-005,1579.971100,2.6720E-004,1579.971100,1.8850E-006,1579.971100,1.1080E-006,1579.971100,1.1080E-006
1580.022000,1.5820E-005,1580.022000,2.6620E-004,1580.022000,1.8610E-006,1580.022000,1.1030E-006,1580.022000,1.1030E-006
1580.072900,1.5520E-005,1580.072900,2.6530E-004,1580.072900,1.8290E-006,1580.072900,1.0930E-006,1580.072900,1.0930E-006
1580.123800,1.5060E-005,1580.123800,2.6430E-004,1580.123800,1.7670E-006,1580.123800,1.1100E-006,1580.123800,1.1100E-006
1580.174700,1.4140E-005,1580.174700,2.6370E-004,1580.174700,1.6690E-006,1580.174700,1.0480E-006,1580.174700,1.0480E-006
1580.225600,1.2580E-005,1580.225600,2.6270E-004,1580.225600,1.4930E-006,1580.225600,9.4170E-007,1580.225600,9.4170E-007
1580.276500,1.0180E-005,1580.276500,2.6200E-004,1580.276500,1.2170E-006,1580.276500,7.7230E-007,1580.276500,7.7230E-007
1580.327400,7.2790E-006,1580.327400,2.6110E-004,1580.327400,8.9760E-007,1580.327400,6.1950E-007,1580.327400,6.1950E-007
1580.378300,4.8410E-006,1580.378300,2.6010E-004,1580.378300,5.9810E-007,1580.378300,4.4370E-007,1580.378300,4.4370E-007
1580.429200,3.1090E-006,1580.429200,2.5910E-004,1580.429200,3.8910E-007,1580.429200,2.4340E-007,1580.429200,2.4340E-007
1580.480100,1.9590E-006,1580.480100,2.5800E-004,1580.480100,2.5400E-007,1580.480100,1.8060E-007,1580.480100,1.8060E-007
1580.531000,1.2330E-006,1580.531000,2.5730E-004,1580.531000,1.6320E-007,1580.531000,1.4680E-007,1580.531000,1.4680E-007
1580.581900,8.3290E-007,1580.581900,2.5630E-004,1580.581900,1.1720E-007,1580.581900,1.1220E-007,1580.581900,1.1220E-007
1580.632800,5.4380E-007,1580.632800,2.5530E-004,1580.632800,7.6300E-008,1580.632800,6.8080E-008,1580.632800,6.8080E-008
1580.683700,4.3760E-007,1580.683700,2.5460E-004,1580.683700,5.1910E-008,1580.683700,5.3110E-008,1580.683700,5.3110E-008
1580.734600,4.3430E-007,1580.734600,2.5370E-004,1580.734600,5.0580E-008,1580.734600,3.0380E-008,1580.734600,3.0380E-008
1580.785500,3.3680E-007,1580.785500,2.5290E-004,1580.785500,4.8660E-008,1580.785500,3.2390E-008,1580.785500,3.2390E-008
1580.836400,3.7080E-007,1580.836400,2.5200E-004,1580.836400,4.8440E-008,1580.836400,5.7420E-008,1580.836400,5.7420E-008
1580.887300,4.2730E-007,1580.887300,2.5090E-004,1580.887300,5.2930E-008,1580.887300,4.4830E-008,1580.887300,4.4830E-008
1580.938200,4.0110E-007,1580.938200,2.5020E-004,1580.938200,5.2040E-008,1580.938200,3.1980E-008,1580.938200,3.1980E-008
1580.989100,3.9700E-007,1580.989100,2.4900E-004,1580.989100,5.4150E-008,1580.989100,2.3420E-008,1580.989100,2.3420E-008
1581.040000,4.0720E-007,1581.040000,2.4820E-004,1581.040000,5.7950E-008,1581.040000,4.6560E-008,1581.040000,4.6560E-008
1581.090900,4.1940E-007,1581.090900,2.4730E-004,1581.090900,4.9570E-008,1581.090900,4.3160E-008,1581.090900,4.3160E-008
1581.141800,3.7100E-007,1581.141800,2.4630E-004,1581.141800,5.3490E-008,1581.141800,4.1100E-008,1581.141800,4.1100E-008
1581.192700,3.8940E-007,1581.192700,2.4540E-004,1581.192700,4.6160E-008,1581.192700,4.3800E-008,1581.192700,4.3800E-008
1581.243600,3.3400E-007,1581.243600,2.4440E-004,1581.243600,4.3630E-008,1581.243600,3.6620E-008,1581.243600,3.6620E-008
1581.294500,3.6410E-007,1581.294500,2.4370E-004,1581.294500,4.4780E-008,1581.294500,4.2690E-008,1581.294500,4.2690E-008
1581.345400,3.1990E-007,1581.345400,2.4270E-004,1581.345400,3.5000E-008,1581.345400,7.6070E-008,1581.345400,7.6070E-008
1581.396300,3.2120E-007,1581.396300,2.4160E-004,1581.396300,4.1360E-008,1581.396300,2.1460E-008,1581.396300,2.1460E-008
1581.447200,3.4770E-007,1581.447200,2.4060E-004,1581.447200,4.2220E-008,1581.447200,4.7630E-008,1581.447200,4.7630E-008
1581.498100,2.8000E-007,1581.498100,2.3970E-004,1581.498100,3.8780E-008,1581.498100,2.4830E-008,1581.498100,2.4830E-008
1581.549000,2.4530E-007,1581.549000,2.3890E-004,1581.549000,3.8480E-008,1581.549000,2.2220E-008,1581.549000,2.2220E-008
1581.599900,2.5670E-007,1581.599900,2.3800E-004,1581.599900,3.6800E-008,1581.599900,6.0470E-008,1581.599900,6.0470E-008
1581.650800,2.2670E-007,1581.650800,2.3670E-004,1581.650800,3.8380E-008,1581.650800,2.7900E-008,1581.650800,2.7900E-008
1581.701700,2.5320E-007,1581.701700,2.3570E-004,1581.701700,3.2240E-008,1581.701700,3.4730E-008,1581.701700,3.4730E-008
1581.752600,2.4500E-007,1581.752600,2.3510E-004,1581.752600,2.8680E-008,1581.752600,4.9700E-008,1581.752600,4.9700E-008
1581.803500,1.6660E-007,1581.803500,2.3380E-004,1581.803500,3.0410E-008,1581.803500,3.8460E-008,1581.803500,3.8460E-008
1581.854400,1.7590E-007,1581.854400,2.3310E-004,1581.854400,2.7380E-008,1581.854400,3.5880E-008,1581.854400,3.5880E-008
1581.905300,1.6680E-007,1581.905300,2.3190E-004,1581.905300,2.6870E-008,1581.905300,3.0620E-008,1581.905300,3.0620E-008
1581.956200,1.2150E-007,1581.956200,2.3140E-004,1581.956200,2.7010E-008,1581.956200,2.2640E-008,1581.956200,2.2640E-008
1582.007100,1.3410E-007,1582.007100,2.3040E-004,1582.007100,1.7360E-008,1582.007100,2.8410E-008,1582.007100,2.8410E-008
1582.058000,1.1370E-007,1582.058000,2.2900E-004,1582.058000,1.7500E-008,1582.058000,4.2240E-008,1582.058000,4.2240E-008
1582.108900,1.0120E-007,1582.108900,2.2850E-004,1582.108900,1.4830E-008,1582.108900,1.0250E-008,1582.108900,1.0250E-008
1582.159800,6.2480E-008,1582.159800,2.2740E-004,1582.159800,2.2090E-008,1582.159800,2.3170E-008,1582.159800,2.3170E-008
1582.210700,8.3950E-008,1582.210700,2.2660E-004,1582.210700,1.8140E-008,1582.210700,2.0820E-008,1582.210700,2.0820E-008
1582.261600,7.4790E-008,1582.261600,2.2540E-004,1582.261600,1.5620E-008,1582.261600,1.9350E-008,1582.261600,1.9350E-008
1582.312500,7.5760E-008,1582.312500,2.2450E-004,1582.312500,1.4250E-008,1582.312500,2.3480E-008,1582.312500,2.3480E-008
1582.363400,7.1110E-008,1582.363400,2.2350E-004,1582.363400,1.5180E-008,1582.363400,1.7280E-008,1582.363400,1.7280E-008
1582.414300,8.2250E-008,1582.414300,2.2250E-004,1582.414300,2.1470E-008,1582.414300,2.2690E-008,1582.414300,2.2690E-008
1582.465200,8.8890E-008,1582.465200,2.2160E-004,1582.465200,1.7260E-008,1582.465200,4.1420E-008,1582.465200,4.1420E-008
1582.516100,1.1180E-007,1582.516100,2.2070E-004,1582.516100,2.3100E-008,1582.516100,2.1490E-008,1582.516100,2.1490E-008
1582.567000,1.4530E-007,1582.567000,2.1980E-004,1582.567000,2.3050E-008,1582.567000,2.4910E-008,1582.567000,2.4910E-008
1582.617900,1.3750E-007,1582.617900,2.1890E-004,1582.617900,2.2090E-008,1582.617900,1.6300E-008,1582.617900,1.6300E-008
1582.668800,1.6310E-007,1582.668800,2.1810E-004,1582.668800,1.7400E-008,1582.668800,3.4250E-008,1582.668800,3.4250E-008
1582.719700,2.0100E-007,1582.719700,2.1690E-004,1582.719700,2.7250E-008,1582.719700,3.5160E-008,1582.719700,3.5160E-008
1582.770600,2.1580E-007,1582.770600,2.1580E-004,1582.770600,2.5010E-008,1582.770600,2.2630E-008,1582.770600,2.2630E-008
1582.821500,1.7220E-007,1582.821500,2.1480E-004,1582.821500,2.9150E-008,1582.821500,4.8820E-008,1582.821500,4.8820E-008
1582.872400,1.7710E-007,1582.872400,2.1360E-004,1582.872400,2.8030E-008,1582.872400,2.7070E-008,1582.872400,2.7070E-008
1582.923300,2.0190E-007,1582.923300,2.1290E-004,1582.923300,2.5780E-008,1582.923300,2.0500E-008,1582.923300,2.0500E-008
1582.974200,1.9360E-007,1582.974200,2.1170E-004,1582.974200,2.4990E-008,1582.974200,6.3060E-008,1582.974200,6.3060E-008
1583.025100,1.8140E-007,1583.025100,2.1120E-004,1583.025100,2.8380E-008,1583.025100,1.6790E-008,1583.025100,1.6790E-008
1583.076000,2.3160E-007,1583.076000,2.1000E-004,1583.076000,3.3450E-008,1583.076000,3.5230E-008,1583.076000,3.5230E-008
1583.126900,1.9510E-007,1583.126900,2.0910E-004,1583.126900,3.0730E-008,1583.126900,1.8190E-008,1583.126900,1.8190E-008
1583.177800,2.1050E-007,1583.177800,2.0850E-004,1583.177800,2.8230E-008,1583.177800,2.1390E-008,1583.177800,2.1390E-008
1583.228700,1.9710E-007,1583.228700,2.0720E-004,1583.228700,2.8290E-008,1583.228700,1.9460E-008,1583.228700,1.9460E-008
1583.279600,2.4000E-007,1583.279600,2.0640E-004,1583.279600,2.4920E-008,1583.279600,4.1440E-008,1583.279600,4.1440E-008
1583.330500,1.7480E-007,1583.330500,2.0510E-004,1583.330500,3.6980E-008,1583.330500,3.2290E-008,1583.330500,3.2290E-008
1583.381400,1.8810E-007,1583.381400,2.0430E-004,1583.381400,2.2790E-008,1583.381400,3.7580E-008,1583.381400,3.7580E-008
1583.432300,1.8830E-007,1583.432300,2.0320E-004,1583.432300,2.5110E-008,1583.432300,7.3950E-009,1583.432300,7.3950E-009
1583.483200,1.4640E-007,1583.483200,2.0260E-004,1583.483200,3.5050E-008,1583.483200,3.5300E-008,1583.483200,3.5300E-008
1583.534100,1.1730E-007,1583.534100,2.0140E-004,1583.534100,1.8620E-008,1583.534100,3.4500E-008,1583.534100,3.4500E-008
1583.585000,1.8930E-007,1583.585000,2.0050E-004,1583.585000,1.8950E-008,1583.585000,2.4000E-008,1583.585000,2.4000E-008
1583.635900,9.5570E-008,1583.635900,1.9960E-004,1583.635900,2.8110E-008,1583.635900,1.0380E-008,1583.635900,1.0380E-008
1583.686800,9.5080E-008,1583.686800,1.9870E-004,1583.686800,2.4810E-008,1583.686800,3.3820E-008,1583.686800,3.3820E-008
1583.737700,1.0120E-007,1583.737700,1.9760E-004,1583.737700,1.6490E-008,1583.737700,3.6550E-008,1583.737700,3.6550E-008
1583.788600,9.4560E-008,1583.788600,1.9690E-004,1583.788600,1.5570E-008,1583.788600,1.3270E-008,1583.788600,1.3270E-008
1583.839500,1.1060E-007,1583.839500,1.9580E-004,1583.839500,1.0140E-008,1583.839500,2.9560E-008,1583.839500,2.9560E-008
1583.890400,1.1140E-007,1583.890400,1.9510E-004,1583.890400,1.9280E-008,1583.890400,3.9980E-008,1583.890400,3.9980E-008
1583.941300,7.8000E-008,1583.941300,1.9360E-004,1583.941300,1.6230E-008,1583.941300,2.3050E-008,1583.941300,2.3050E-008
1583.992200,1.0740E-007,1583.992200,1.9290E-004,1583.992200,1.2010E-008,1583.992200,2.6230E-008,1583.992200,2.6230E-008
1584.043100,9.0070E-008,1584.043100,1.9190E-004,1584.043100,1.6350E-008,1584.043100,1.9650E-008,1584.043100,1.9650E-008
1584.094000,1.2210E-007,1584.094000,1.9130E-004,1584.094000,1.4800E-008,1584.094000,1.8490E-008,1584.094000,1.8490E-008
1584.144900,7.8450E-008,1584.144900,1.9020E-004,1584.144900,1.5560E-008,1584.144900,3.4150E-008,1584.144900,3.4150E-008
1584.195800,8.3820E-008,1584.195800,1.8920E-004,1584.195800,1.0750E-008,1584.195800,8.9280E-009,1584.195800,8.9280E-009
1584.246700,1.1830E-007,1584.246700,1.8790E-004,1584.246700,1.3110E-008,1584.246700,2.9360E-008,1584.246700,2.9360E-008
1584.297600,8.9050E-008,1584.297600,1.8760E-004,1584.297600,1.3460E-008,1584.297600,2.2060E-008,1584.297600,2.2060E-008
1584.348500,8.4340E-008,1584.348500,1.8660E-004,1584.348500,2.0140E-008,1584.348500,2.2380E-008,1584.348500,2.2380E-008
1584.399400,1.0660E-007,1584.399400,1.8510E-004,1584.399400,1.5240E-008,1584.399400,2.6570E-008,1584.399400,2.6570E-008
1584.450300,9.4300E-008,1584.450300,1.8450E-004,1584.450300,1.5070E-008,1584.450300,2.6490E-008,1584.450300,2.6490E-008
1584.501200,1.0050E-007,1584.501200,1.8350E-004,1584.501200,3.0270E-008,1584.501200,4.0420E-008,1584.501200,4.0420E-008
1584.552100,1.0490E-007,1584.552100,1.8260E-004,1584.552100,1.5580E-008,1584.552100,1.5970E-008,1584.552100,1.5970E-008
1584.603000,1.0840E-007,1584.603000,1.8180E-004,1584.603000,1.1990E-008,1584.603000,1.8950E-008,1584.603000,1.8950E-008
